Substance ID,Type,Substance Name,Substance Description,Reference ID
SUB044,Drug,Methylprednisolone,Methylprednisolone is a corticosteroid medicine that prevents the release of substances in the body that cause inflammation.,"R009
R014
R073"
SUB045,Drug,Midazolam,"Midazolam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen) that is used to help you relax before having a minor surgery, dental work, or other medical procedure.","R009
R014
R026
R074"
SUB046,Drug,Nelfinavir,Nelfinavir is an antiviral medicine that is used to treat HIV (human immunodeficiency virus). HIV can cause acquired immunodeficiency syndrome (AIDS). Nelfinavir is not a cure for HIV or AIDS.,"R009
R010
R075"
SUB047,Drug,Rifabutin,Rifabutin is used to prevent mycobacterium avium complex (MAC) in people with HIV (human immunodeficiency virus) infection. Rifabutin is also used with other medicines to treat tuberculosis in people with HIV.,"R009
R014
R016
R076"
SUB048,Drug,Sildenafil,"Sildenafil is used to treat erectile dysfunction (ED) in adult men or pulmonary arterial hypertension (PAH) in adults and children, depending on the brand or formulation.","R009
R014
R077"
SUB049,Drug,Triazolam,Triazolam is a benzodiazepine that is used short term (7 to 10 days) to treat insomnia (trouble falling or staying asleep).,"R009
R014
R078"
SUB050,Drug,Sulfamethoxazole/Trimethoprim (Co-trimoxazole),"Sulfamethoxazole and trimethoprim is a combination antibiotic used to treat ear infections, urinary tract infections, bronchitis, traveler's diarrhea, shigellosis, and Pneumocystis jiroveci pneumonia.","R009
R018
R019
R079"
SUB051,Drug,Lincomycin,Lincomycin is an antibiotic that is used to treat severe bacterial infections in people who cannot use penicillin antibiotics.,"R009
R080"
SUB052,Drug,Clindamycin,Clindamycin is an antibiotic that fights bacteria in the body. Clindamycin is used to treat serious infections caused by bacteria.,"R009
R081"
SUB053,Food,Food,Any substance consumed by humans to provide nutritional support.,"R010
R017
R018
R025"
SUB054,Drug,Combined Oral Contraceptives,"Combined oral contraceptives (COCs) contain an estrogen and a progestin to prevent ovulation (the release of an egg from an ovary), thin the uterine lining, and thicken cervical mucus making it impenetrable to sperm.","R011
R038"
SUB055,Drug,Allopurinol,"Allopurinol is used to treat gout (a type of arthritis in which uric acid, a naturally occurring substance in the body, builds up in the joints and causes sudden attacks of redness, swelling, pain, and heat in one or more joints). Allopurinol is used to prevent gout attacks, not to treat them once they occur. Allopurinol does not need to be stopped during an acute flare.","R011
R012
R013
R082"
SUB056,Drug,Acenocoumarol,"Acenocoumarol is not approved for marketing in the United States by the U.S. Food and Drug Administration, but is available in Canada and other countries. Because of the low levels of acenocoumarol in breastmilk, amounts ingested by the infant are small.","R011
R083"
SUB057,Drug,Methotrexate,"Methotrexate interferes with the growth of certain cells of the body, especially cells that reproduce quickly, such as cancer cells, bone marrow cells, and skin cells. Methotrexate is used to treat leukemia and certain types of cancer of the breast, skin, head and neck, lung, or uterus.","R012
R013
R020
R084"
SUB058,Drug,Chloramphenicol,"It is used to treat bacterial infections.","R013
R027
R029
R085"
SUB059,Drug,Macrolides,"Macrolides inhibit protein synthesis in bacteria by reversibly binding to the P site of the 50S unit of the ribosome. Macrolides mainly affect gram-positive cocci and intracellular pathogens such as mycoplasma, chlamydia, and legionella. Erythromycin was the first macrolide discovered; other macrolides include azithromycin, clarithromycin, and roxithromycin.","R013
R018
R019
R086"
SUB060,Drug,Sulfonamides,Sulfonamides (sulphonamides) are a group of man-made (synthetic) medicines that contain the sulfonamide chemical group. They may also be called sulfa drugs.,"R013
R087"
SUB061,Drug,Tetracyclines,"Tetracyclines are a class of antibiotics that may be used to treat infections caused by susceptible microorganisms such as gram positive and gram negative bacteria, chlamydiae, mycoplasma, protozoans, or rickettsiae.","R013
R088"
SUB062,Drug,Estriol/Estrone/Estradiol Conjugates,"Estradiol, estrone, and estriol are excreted in the urine along with glucuronide and sulfate conjugates.","R013
R089"
SUB063,Drug,Ritonavir,"Ritonavir is an antiviral medicine that prevents human immunodeficiency virus (HIV) from multiplying in your body. Ritonavir is used together with other antiviral medicines to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS). Ritonavir is not a cure for HIV or AIDS.","R014
R016
R090"
SUB064,Drug,Omeprazole,"Omeprazole is used to treat excess stomach acid in conditions such as non cancerous stomach ulcers, gastroesophageal reflux disease (GERD), active duodenal ulcer, Zollinger-Ellison syndrome and erosive esophagitis. Omeprazole works by blocking gastric acid production and is from the group of medicines called proton pump inhibitors.","R014
R091"
SUB065,Drug,Ethambutol,"Ethambutol is an antibiotic that prevents growth of the tuberculous bacteria in the body. Ethambutol is used to treat tuberculosis (TB), and is usually given together with at least one other tuberculosis medicine.","R014
R092"
SUB066,Drug,Isoniazid,Isoniazid is an antibiotic that fights bacteria. Isoniazid is used to treat and to prevent tuberculosis (TB).,"R014
R093"
SUB067,Drug,Pyrazinamide,Pyrazinamide is an antibiotic that fights bacteria. Pyrazinamide is used to treat tuberculosis (TB) in adults and children.,"R014
R094"
SUB068,Drug,Oral Anticoagulants,Anticoagulants are medicines that increase the time it takes for blood to clot. They are commonly called blood thinners. ,"R014
R016
R020
R031"
SUB069,Drug,Quinidine,"Quinidine is used to help keep the heart beating normally in people with certain heart rhythm disorders, usually after other treatments have failed. Quinidine has not been proven to lower the risks of stroke or death.","R014
R095"
SUB070,Drug,Disopyramide,Disopyramide affects the way that your heart beats. Disopyramide is used to treat life-threatening irregular heartbeat patterns.,"R014
R016
R096"
SUB071,Drug,Ergotamine,Ergotamine is an ergot alkaloid medicine that is used to treat a vascular headache (such as a migraine or cluster headache).,"R014
R097"
SUB072,Drug,Dihydroergotamine,Dihydroergotamine is an ergot alkaloid medicine that is used to treat a migraine or cluster headache attack. dihydroergotamine will not prevent headaches or reduce the number of attacks.,"R014
R098"
SUB073,Drug,Alprazolam,"Alprazolam is a benzodiazepine. It is thought that it works by enhancing the activity of certain neurotransmitters in the brain. Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. It is dangerous to purchase alprazolam on the Internet or outside the United States. ","R014
R099"
SUB074,Drug,Lovastatin,"Lovastatin is used to lower the risk of stroke, heart attack, and other heart complications in adults with diabetes, coronary heart disease, or other risk factors.","R014
R016
R100"
SUB075,Drug,Simvastatin,"Simvastatin is also used to lower the risk of stroke, heart attack, and other heart complications in people with diabetes, coronary heart disease, or other risk factors.","R014
R016
R101"
SUB076,Drug,Alfentanil,Alfentanil injection is given together with other medicines to relieve pain during surgery. It is also used as a primary anesthesia (numbing medicine) for patients undergoing general surgery.,"R014 
R016
R102"
SUB077,Drug,Cilostazol,Cilostazol is a vasodilator that works by relaxing the muscles in your blood vessels to help them dilate (widen). Cilostazol dilates arteries that supply blood to your legs. Cilostazol also improves circulation by keeping platelets in the blood from sticking together and clotting.,"R014
R103"
SUB078,Drug,Bromocriptine,"The Parlodel brand of bromocriptine is used to treat certain conditions caused by a hormone imbalance in which there is too much prolactin in the blood (hyperprolactinemia). High prolactin levels may cause sexual problems, hot flashes, menstrual problems or infertility in women, muscle loss in men, breast enlargement in men and women, and lack of sexual development in adolescents. Parlodel is also used to treat these disorders when they are caused by a noncancerous tumor of the pituitary gland that can overproduce prolactin.","R014
R016
R104"
SUB079,Drug,Valproate,Valproate Sodium Injection is indicated as an intravenous alternative in patients in whom oral administration of valproate products is temporarily not feasible in the following conditions:,"R014
R016
R105"
SUB080,Drug,Pimozide,Pimozide works by changing the actions of chemicals in the brain. Pimozide is used in people with Tourette's syndrome. Pimozide suppresses the physical (motor) and vocal (phonic) symptoms of tics when these symptoms interfere with daily life function.,"R015
R016
R106"
SUB081,Drug,Metoclopramide,Metoclopramide increases muscle contractions in the upper digestive tract. This speeds up the rate at which the stomach empties into the intestines.,"R017
R018
R019
R107"
SUB082,Drug,Bethanechol,"Bethanechol is used to treat urinary retention (trouble urinating) that may be caused by surgery, delivering a baby, or other conditions.","R017
R108"
SUB083,Drug,Domperidone,"Domperidone is an antiemetic (anti-sickness) and prokinetic drug. It belongs to a group of drugs called dopamine antagonists. It is used to treat stomach-related issues, such as nausea and vomiting, as well as stomach pain and discomfort caused by decreased movement of the stomach and upper gastrointestinal (GI) tract. It is also used to boost breastmilk supply.","R017
R109"
SUB084,Drug,Laxatives,"Laxatives are medicines that help resolve constipation or empty the bowel of fecal matter before procedures or surgery involving the lower bowel. There are several different types available (see differences below) and each type works in a particular way. Some soften or loosen up the stool, while others increase how frequently the large colon contracts which helps move the stool along the bowel.","R017
R110"
SUB085,Drug,Fluoroquinolones," One of the classes, called fluoroquinolones, was derived from quinolones by adding a fluorine atom to nalidixic acid. This enhanced its activity against bacteria, and improved its absorption, metabolism, and excretion characteristics.","R018
R019
R111"
SUB086,Drug,Cephalosporins,"Cephalosporins are bactericidal (kill bacteria) and work in a similar way to penicillins. They bind to and block the activity of enzymes responsible for making peptidoglycan, an important component of the bacterial cell wall. ","R018
R019
R112"
SUB087,Drug,Potassium Aminobenzoate,"Potassium aminobenzoate is possibly effective in treating fibrosis or a certain type of inflammation, which can cause skin or tissues to harden. These conditions occur in people with scleroderma, dermatomyositis, morphea, pemphigus, or Peyronie's disease.","R020
R113"
SUB088,Drug,Procaine (Local Anesthesia),"Penicillin G procaine, a natural penicillin, is a β-lactam antibiotic. The drug is the procaine monohydrate salt of penicillin G and is a long-acting formulation of penicillin G.","R020
R114"
SUB089,Drug,Procainamide,Procainamide is used to help keep the heart beating normally in people with certain heart rhythm disorders of the ventricles (the lower chambers of the heart that allow blood to flow out of the heart).,"R020
R115"
SUB090,Drug,Rosiglitazone,Rosiglitazone is used to treat a type of diabetes mellitus called type 2 diabetes. It may be used alone or with other medicines such as metformin or sulfonylurea agents. Rosiglitazone is used together with a proper diet and exercise to help control blood sugar levels. It does this by helping your body use insulin better.,"R020
R116"
SUB091,Drug,Zalcitabine,Zalcitabine can cause severe peripheral neuropathy and should be used with extreme caution in patients with preexisting neuropathy. ,"R020
R117"
SUB092,Drug,Lamivudine,Lamivudine is an antiviral medicine that prevents human immunodeficiency virus (HIV) or hepatitis B virus from multiplying in your body.,"R020
R118"
SUB093,Drug,Dapsone,Dapsone is an anti-infective medicine that fights bacteria. Dapsone is used to treat dermatitis herpetiformis (a skin condition) and leprosy.,"R020
R119"
SUB094,Drug,Progesterone Contraceptives,"Progestin-only contraceptives (POPs) contain just one hormone, progestin. Most work by thickening cervical mucus, preventing sperm from entering the uterus.  ","R021
R022
R038"
SUB095,Drug,Magnesium Hydroxide (Antacids),"Magnesium is a naturally occurring mineral. Magnesium hydroxide reduces stomach acid, and increases water in the intestines which may induce bowel movements. Magnesium hydroxide is used as a laxative to relieve occasional constipation.","R025
R026
R120"
SUB096,Drug,Aluminum Hydroxide (Antacids),"Aluminum hydroxide is used to treat heartburn, upset stomach, sour stomach, or acid indigestion. Aluminum hydroxide is also used to reduce phosphate levels in people with certain kidney conditions.","R025
R026
R121"
SUB097,Drug,Metronidazole,"Metronidazole is an antibiotic that may be used to treat certain infections of the vagina, stomach, liver, skin, joints, brain and spinal cord, lungs, heart, or bloodstream.","R025
R122"
SUB098,Drug,Caffeine,"Caffeine is a central nervous system stimulant. It works by stimulating the brain. Caffeine is found naturally in foods and beverages such as coffee, tea, colas, energy and chocolate. Botanical sources of caffeine include kola nuts, guarana, and yerba mate. Caffeine is also available in prescription and non-prescription medications.","R025
R026
R123"
SUB099,Food,Dairy Products (High Calcium Content),"Food derived drom milk that are rich in calcium, such as milk, cheese, yogurt, and butter.",R026
SUB100,Drug,H2 Antagonists,"H2 antagonists block histamine-induced gastric acid secretion from the parietal cells of the gastric mucosa (lining of the stomach). H2 antagonists are used to treat gastroesophageal reflux disease (GERD), gastrointestinal ulcers and other gastrointestinal hypersecretory conditions.","R026
R124"
SUB101,Drug,Naproxen,"Naproxen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Naproxen is used to treat pain or inflammation caused by conditions such as arthritis, ankylosing spondylitis, tendinitis, bursitis, gout, or menstrual cramps. It can also be used to treat acute pain caused by other conditions not listed in this medication guide.","R026
R125"
SUB102,Drug,Chloroquine,"Chloroquine is used to treat or prevent malaria, a disease caused by parasites that enter the body through the bite of a mosquito. Chloroquine is not effective against all strains of malaria, or against malaria in areas where the infection has been resistant to a similar drug called hydroxychloroquine.","R026
R126"
SUB103,Drug,Opioid Analgesics,"Opioid analgesics have been one of the most widely used analgesics for pain relief; however, they have been overused, overprescribed, and misused. According to the NCDAS, more than 9 million people misuse opioids every year. ","R026
R127"
SUB104,Drug,Nifedipine,Nifedipine is in a group of drugs called calcium channel blockers. It works by relaxing the muscles of your heart and blood vessels. Nifedipine is used to treat hypertension (high blood pressure) and angina (chest pain).,"R027
R029
R128"
SUB105,Drug,Aspirin (Salicylates),"Aspirin is a salicylate. It works by reducing substances in the body that cause pain, fever, and inflammation. Aspirin is used to treat pain, and reduce fever or inflammation. It is sometimes used to treat or prevent heart attacks, strokes, and chest pain (angina).","R027
R029
R129"
SUB106,Drug,Sulfinpyrazone,"Sulfinpyrazone is used in the treatment of chronic gout (gouty arthritis), which is caused by too much uric acid in the blood. The medicine works by removing the extra uric acid from the body. Sulfinpyrazone does not cure gout, but after you have been taking it for a few months it may help prevent gout attacks.","R030
R130"
SUB107,Drug,Carbonic Anhydrase Inhibitors,"Carbonic anhydrase inhibitors reduce the activity of carbonic anhydrase, an enzyme responsible for catalyzing the reaction between carbon dioxide and water into carbonic acid and then bicarbonate. This reduces the resorption of bicarbonate from the proximal tubule in the kidneys, which causes a direct increase in bicarbonate excretion and mild increases in sodium, and potassium excretion. ","R030
R131"
